donor_id,tanggal_terakhir_donasi,tanggal_pertama_donasi,frekuensi,total_nominal,recency_hari,skor_R,skor_F,skor_M,skor_gabungan_ahp,segmentasi
G16774,2021-10-13 20:35:00,2021-10-13 20:35:00,1,30000,1175,2,1,2,1.65,Hilang
G16780,2021-10-14 22:55:00,2021-10-14 22:55:00,1,200000,1174,2,1,4,2.15,Tidur
G16781,2021-10-14 23:07:00,2021-10-14 23:07:00,1,100000,1174,2,1,3,1.9,Tidur
G16783,2021-10-22 10:25:00,2021-10-15 04:59:00,2,40000,1166,2,4,2,2.7,Kategori Lain
G16784,2021-10-22 10:07:00,2021-10-15 05:59:00,2,50000,1166,2,4,2,2.7,Kategori Lain
G16785,2021-10-15 08:10:00,2021-10-15 08:10:00,1,150000,1173,2,1,4,2.15,Tidur
G16786,2021-10-15 11:25:00,2021-10-15 11:25:00,1,150000,1173,2,1,4,2.15,Tidur
G16787,2021-10-15 12:43:00,2021-10-15 12:43:00,1,400000,1173,2,1,5,2.4,Tidur
G16788,2021-10-15 13:22:00,2021-10-15 13:22:00,1,50000,1173,2,1,2,1.65,Hilang
G16789,2021-10-15 13:32:00,2021-10-15 13:32:00,1,200000,1173,2,1,4,2.15,Tidur
G16790,2021-10-15 15:48:00,2021-10-15 15:48:00,1,50000,1173,2,1,2,1.65,Hilang
G16791,2021-10-15 16:11:00,2021-10-15 16:11:00,1,50000,1173,2,1,2,1.65,Hilang
G16792,2021-10-15 16:39:00,2021-10-15 16:39:00,1,100010,1173,2,1,4,2.15,Tidur
G16793,2022-09-02 19:33:00,2021-10-15 16:43:00,2,159000,851,3,4,4,3.6,Tidur
G16795,2021-10-30 09:36:00,2021-10-16 00:36:00,2,150000,1158,2,4,4,3.2,Tidur
G16796,2021-10-16 10:52:00,2021-10-16 10:52:00,1,20000,1172,2,1,1,1.4,Hilang
G16798,2021-10-17 07:50:00,2021-10-17 07:50:00,1,375000,1171,2,1,5,2.4,Tidur
G16799,2021-10-17 19:26:00,2021-10-17 19:26:00,1,350000,1171,2,1,5,2.4,Tidur
G16801,2021-10-18 16:40:00,2021-10-18 16:40:00,1,200000,1170,2,1,4,2.15,Tidur
G16802,2021-10-18 23:25:00,2021-10-18 23:25:00,1,400000,1170,2,1,5,2.4,Tidur
G16803,2021-11-23 04:46:00,2021-10-19 05:04:00,4,350000,1134,2,5,5,3.8,Tidur
G16805,2021-10-19 11:46:00,2021-10-19 11:46:00,1,20000,1169,2,1,1,1.4,Hilang
G16806,2021-10-29 17:34:00,2021-10-19 14:39:00,2,50000,1159,2,4,2,2.7,Kategori Lain
G16807,2021-10-20 08:19:00,2021-10-20 08:19:00,1,100010,1168,2,1,4,2.15,Tidur
G16808,2021-10-20 11:48:00,2021-10-20 11:48:00,1,50000,1168,2,1,2,1.65,Hilang
G16809,2021-10-20 12:56:00,2021-10-20 12:56:00,1,400000,1168,2,1,5,2.4,Tidur
G16813,2021-10-21 11:14:00,2021-10-21 11:14:00,1,100000,1167,2,1,3,1.9,Tidur
G16814,2021-10-21 17:29:00,2021-10-21 17:29:00,1,80000,1167,2,1,3,1.9,Hilang
G16816,2021-10-22 10:50:00,2021-10-22 10:50:00,1,30000,1166,2,1,2,1.65,Hilang
G16817,2021-10-22 11:47:00,2021-10-22 11:47:00,1,200000,1166,2,1,4,2.15,Tidur
G16818,2021-10-22 13:09:00,2021-10-22 13:09:00,1,50000,1166,2,1,2,1.65,Hilang
G16819,2021-10-22 13:56:00,2021-10-22 13:56:00,1,50000,1166,2,1,2,1.65,Hilang
G16820,2021-10-25 09:31:00,2021-10-22 13:57:00,2,320000,1163,2,4,5,3.45,Tidur
G16821,2021-10-23 20:42:00,2021-10-23 20:42:00,1,50000,1165,2,1,2,1.65,Hilang
G16822,2021-10-24 10:16:00,2021-10-24 10:16:00,1,100000,1164,2,1,3,1.9,Tidur
G16823,2021-10-25 05:22:00,2021-10-25 05:22:00,1,150000,1163,2,1,4,2.15,Tidur
G16824,2021-10-25 10:43:00,2021-10-25 10:43:00,1,300000,1163,2,1,5,2.4,Tidur
G16825,2021-10-25 11:43:00,2021-10-25 11:43:00,1,200000,1163,2,1,4,2.15,Tidur
G16829,2021-10-26 07:12:00,2021-10-26 07:12:00,1,100000,1162,2,1,3,1.9,Tidur
G16831,2021-10-26 20:13:00,2021-10-26 20:13:00,1,137500,1162,2,1,4,2.15,Tidur
G16832,2021-10-26 21:30:00,2021-10-26 21:30:00,1,20000,1162,2,1,1,1.4,Hilang
G16834,2021-10-26 22:41:00,2021-10-26 22:41:00,1,145000,1162,2,1,4,2.15,Tidur
G16835,2021-10-29 06:52:00,2021-10-29 06:52:00,1,50000,1159,2,1,2,1.65,Hilang
G16839,2021-10-29 09:04:00,2021-10-29 09:04:00,1,200000,1159,2,1,4,2.15,Tidur
G16841,2024-12-06 12:05:00,2021-10-29 09:52:00,85,10798250,25,5,5,5,5.0,Mulai Aktif
G16842,2022-12-23 09:42:00,2022-12-23 09:42:00,1,50000,739,3,1,2,2.05,Hilang
G16843,2021-12-27 14:05:00,2021-10-29 10:19:00,3,600000,1100,2,5,5,3.8,Tidur
G16844,2021-10-29 13:31:00,2021-10-29 13:31:00,1,50000,1159,2,1,2,1.65,Hilang
G16846,2021-10-29 15:29:00,2021-10-29 15:29:00,1,150000,1159,2,1,4,2.15,Tidur
G16848,2022-04-17 06:08:00,2021-11-16 05:53:00,6,1000000,989,3,5,5,4.2,Tidur
G16849,2021-12-09 14:07:00,2021-10-30 21:16:00,2,601645,1118,2,4,5,3.45,Tidur
G16857,2021-11-01 15:22:00,2021-11-01 15:22:00,1,20000,1156,2,1,1,1.4,Hilang
G16859,2022-11-26 09:14:00,2021-11-01 21:17:00,2,200000,766,3,4,4,3.6,Tidur
G16860,2021-11-01 21:42:00,2021-11-01 21:42:00,1,350000,1156,2,1,5,2.4,Tidur
G16862,2024-10-16 05:08:00,2021-11-02 05:25:00,10,602542,76,5,5,5,5.0,Kategori Lain
G16863,2021-11-02 06:34:00,2021-11-02 06:34:00,1,10000,1155,2,1,1,1.4,Hilang
G16866,2024-03-29 05:35:00,2021-12-02 06:48:00,2,300000,277,5,4,5,4.65,Tidur
G16867,2023-07-12 06:33:00,2023-07-12 06:33:00,1,50000,538,4,1,2,2.45,Hilang
G16868,2021-11-09 09:49:00,2021-11-09 09:49:00,1,100000,1148,2,1,3,1.9,Tidur
G16869,2022-01-14 21:18:00,2021-11-02 09:50:00,2,40000,1082,2,4,2,2.7,Kategori Lain
G16870,2022-01-14 09:39:00,2022-01-14 09:39:00,1,200000,1082,2,1,4,2.15,Tidur
G16871,2021-11-02 11:06:00,2021-11-02 11:06:00,1,188750,1155,2,1,4,2.15,Tidur
G16872,2023-09-15 18:32:00,2021-11-02 12:29:00,10,1000000,473,4,5,5,4.6,Tidur
G16873,2021-11-02 12:59:00,2021-11-02 12:59:00,1,20000,1155,2,1,1,1.4,Hilang
G16874,2022-01-15 11:54:00,2021-11-02 13:35:00,5,385000,1081,2,5,5,3.8,Tidur
G16875,2022-04-01 16:45:00,2021-11-02 21:52:00,6,250375,1005,3,5,5,4.2,Tidur
G16878,2024-02-02 04:59:00,2021-11-03 12:46:00,4,330000,333,5,5,5,5.0,Tidur
G16880,2021-11-04 05:20:00,2021-11-04 05:20:00,1,150000,1153,2,1,4,2.15,Tidur
G16881,2022-01-30 05:56:00,2021-11-04 08:19:00,4,250000,1066,3,5,4,3.95,Tidur
G16882,2021-11-04 16:20:00,2021-11-04 16:20:00,1,50000,1153,2,1,2,1.65,Hilang
G16883,2021-11-04 18:45:00,2021-11-04 18:45:00,1,100000,1153,2,1,3,1.9,Tidur
G16885,2021-11-04 19:42:00,2021-11-04 19:42:00,1,20000,1153,2,1,1,1.4,Hilang
G16886,2021-12-20 20:45:00,2021-11-04 22:25:00,2,40000,1107,2,4,2,2.7,Kategori Lain
G16889,2021-11-05 09:31:00,2021-11-05 09:31:00,1,160473,1152,2,1,4,2.15,Tidur
G16891,2021-11-05 10:39:00,2021-11-05 10:39:00,1,50000,1152,2,1,2,1.65,Hilang
G16892,2021-11-05 13:14:00,2021-11-05 13:14:00,1,150000,1152,2,1,4,2.15,Tidur
G16894,2023-04-22 01:47:00,2021-11-05 12:32:00,9,550000,619,4,5,5,4.6,Tidur
G16896,2021-11-05 13:29:00,2021-11-05 13:29:00,1,200000,1152,2,1,4,2.15,Tidur
G16897,2021-11-05 17:10:00,2021-11-05 17:10:00,1,20000,1152,2,1,1,1.4,Hilang
G16898,2023-12-01 08:36:00,2021-11-05 17:56:00,2,330000,396,5,4,5,4.65,Tidur
G16899,2021-11-05 22:06:00,2021-11-05 22:06:00,1,20000,1152,2,1,1,1.4,Hilang
G16900,2021-11-05 22:50:00,2021-11-05 22:50:00,1,50000,1152,2,1,2,1.65,Hilang
G16901,2021-11-06 00:16:00,2021-11-06 00:16:00,1,20000,1151,2,1,1,1.4,Hilang
G16902,2021-11-06 16:53:00,2021-11-06 16:53:00,1,100000,1151,2,1,3,1.9,Tidur
G16904,2021-11-06 20:24:00,2021-11-06 20:24:00,1,200000,1151,2,1,4,2.15,Tidur
G16905,2021-11-07 05:46:00,2021-11-07 05:46:00,1,20000,1150,2,1,1,1.4,Hilang
G16906,2021-11-07 06:37:00,2021-11-07 06:37:00,1,250000,1150,2,1,4,2.15,Tidur
G16907,2021-11-07 06:49:00,2021-11-07 06:49:00,1,50000,1150,2,1,2,1.65,Hilang
G16908,2022-11-25 12:26:00,2021-11-07 07:59:00,2,650000,767,3,4,5,3.85,Tidur
G16909,2022-10-28 11:48:00,2021-11-07 08:06:00,14,1435000,795,3,5,5,4.2,Tidur
G16910,2022-09-01 05:50:00,2021-11-07 11:20:00,5,500000,852,3,5,5,4.2,Tidur
G16911,2021-11-07 14:21:00,2021-11-07 14:21:00,1,20000,1150,2,1,1,1.4,Hilang
G16912,2021-11-07 16:05:00,2021-11-07 16:05:00,1,50000,1150,2,1,2,1.65,Hilang
G16913,2021-11-07 16:18:00,2021-11-07 16:18:00,1,20000,1150,2,1,1,1.4,Hilang
G16914,2022-11-10 10:08:00,2021-11-07 17:19:00,9,1350000,782,3,5,5,4.2,Tidur
G16915,2023-07-10 19:17:00,2021-11-07 20:13:00,8,240000,540,4,5,4,4.35,Tidur
G16916,2022-10-07 10:24:00,2021-11-07 20:32:00,2,270000,816,3,4,5,3.85,Tidur
G16917,2024-05-10 15:51:00,2021-11-08 14:51:00,2,40000,235,5,4,2,3.9,Kategori Lain
G16919,2021-11-28 09:10:00,2021-11-08 04:57:00,2,40000,1129,2,4,2,2.7,Kategori Lain
G16920,2021-11-08 11:17:00,2021-11-08 11:17:00,1,50000,1149,2,1,2,1.65,Hilang
G16921,2021-11-08 13:24:00,2021-11-08 13:24:00,1,50000,1149,2,1,2,1.65,Hilang
G16922,2021-11-08 14:40:00,2021-11-08 14:40:00,1,20000,1149,2,1,1,1.4,Hilang
G16923,2021-11-08 18:01:00,2021-11-08 18:01:00,1,20000,1149,2,1,1,1.4,Hilang
G16924,2021-11-08 20:50:00,2021-11-08 20:50:00,1,20000,1149,2,1,1,1.4,Hilang
G16926,2021-11-09 03:12:00,2021-11-09 03:12:00,1,200000,1148,2,1,4,2.15,Tidur
G16927,2021-11-09 04:04:00,2021-11-09 04:04:00,1,100000,1148,2,1,3,1.9,Tidur
G16928,2021-11-09 04:05:00,2021-11-09 04:05:00,1,50000,1148,2,1,2,1.65,Hilang
G16930,2021-11-09 06:20:00,2021-11-09 06:20:00,1,27000,1148,2,1,2,1.65,Hilang
G16933,2021-11-09 19:29:00,2021-11-09 19:29:00,1,20484,1148,2,1,2,1.65,Hilang
G16934,2021-11-09 20:16:00,2021-11-09 20:16:00,1,20000,1148,2,1,1,1.4,Hilang
G16935,2022-01-03 21:15:00,2021-11-09 20:23:00,2,40000,1093,2,4,2,2.7,Kategori Lain
G16936,2021-11-09 21:33:00,2021-11-09 21:33:00,1,50000,1148,2,1,2,1.65,Hilang
G16937,2021-11-09 21:35:00,2021-11-09 21:35:00,1,20000,1148,2,1,1,1.4,Hilang
G16938,2023-08-03 23:11:00,2021-11-09 22:05:00,5,70000,516,4,5,3,4.1,Kategori Lain
G16939,2021-11-09 22:37:00,2021-11-09 22:37:00,1,170000,1148,2,1,4,2.15,Tidur
G16941,2021-11-10 04:02:00,2021-11-10 04:02:00,1,20000,1147,2,1,1,1.4,Hilang
G16942,2021-11-10 04:50:00,2021-11-10 04:50:00,1,20000,1147,2,1,1,1.4,Hilang
G16943,2022-01-22 05:06:00,2021-11-10 04:55:00,4,80000,1074,2,5,3,3.3,Kategori Lain
G16944,2021-11-10 05:14:00,2021-11-10 05:14:00,1,50979,1147,2,1,3,1.9,Hilang
G16945,2024-08-08 04:47:00,2021-11-10 05:11:00,2,200000,145,5,4,4,4.4,Tidur
G16946,2023-04-09 05:40:00,2021-11-10 05:36:00,2,50000,632,4,4,2,3.5,Kategori Lain
G16948,2021-11-10 10:40:00,2021-11-10 10:40:00,1,20000,1147,2,1,1,1.4,Hilang
G16949,2021-11-10 13:44:00,2021-11-10 13:44:00,1,20000,1147,2,1,1,1.4,Hilang
G16950,2021-11-10 13:54:00,2021-11-10 13:54:00,1,20000,1147,2,1,1,1.4,Hilang
G16951,2022-01-12 09:18:00,2021-11-10 14:24:00,2,45000,1084,2,4,2,2.7,Kategori Lain
G16955,2023-08-03 20:50:00,2021-11-10 15:19:00,4,50000,516,4,5,2,3.85,Kategori Lain
G16958,2022-01-23 12:21:00,2021-11-10 18:08:00,4,200000,1073,2,5,4,3.55,Tidur
G16959,2021-12-02 22:47:00,2021-11-10 21:16:00,2,40000,1125,2,4,2,2.7,Kategori Lain
G16960,2021-11-10 22:41:00,2021-11-10 22:41:00,1,20000,1147,2,1,1,1.4,Hilang
G16961,2021-11-10 23:29:00,2021-11-10 23:29:00,1,50000,1147,2,1,2,1.65,Hilang
G16962,2021-11-10 23:34:00,2021-11-10 23:34:00,1,300000,1147,2,1,5,2.4,Tidur
G16963,2021-11-11 00:15:00,2021-11-11 00:15:00,1,20700,1146,2,1,2,1.65,Hilang
G16965,2023-02-07 05:07:00,2021-11-11 03:35:00,10,1400000,693,3,5,5,4.2,Tidur
G16966,2021-11-11 04:53:00,2021-11-11 04:53:00,1,50000,1146,2,1,2,1.65,Hilang
G16967,2021-11-24 04:22:00,2021-11-11 05:11:00,2,150000,1133,2,4,4,3.2,Tidur
G16968,2021-11-12 06:34:00,2021-11-11 06:50:00,2,200000,1145,2,4,4,3.2,Tidur
G16969,2021-11-11 12:46:00,2021-11-11 12:46:00,1,20000,1146,2,1,1,1.4,Hilang
G16971,2021-11-11 16:11:00,2021-11-11 16:11:00,1,50000,1146,2,1,2,1.65,Hilang
G16973,2021-11-11 18:48:00,2021-11-11 18:48:00,1,20000,1146,2,1,1,1.4,Hilang
G16974,2021-11-11 22:38:00,2021-11-11 22:38:00,1,100000,1146,2,1,3,1.9,Tidur
G16975,2021-11-12 00:11:00,2021-11-12 00:11:00,1,200000,1145,2,1,4,2.15,Tidur
G16976,2021-11-12 00:50:00,2021-11-12 00:50:00,1,20000,1145,2,1,1,1.4,Hilang
G16977,2021-11-12 02:16:00,2021-11-12 02:16:00,1,50162,1145,2,1,3,1.9,Hilang
G16978,2021-11-12 04:16:00,2021-11-12 04:16:00,1,20000,1145,2,1,1,1.4,Hilang
G16979,2021-11-12 04:46:00,2021-11-12 04:46:00,1,100000,1145,2,1,3,1.9,Tidur
G16980,2023-01-27 11:05:00,2021-11-12 05:25:00,2,150000,704,3,4,4,3.6,Tidur
G16981,2021-11-12 07:24:00,2021-11-12 07:24:00,1,100000,1145,2,1,3,1.9,Tidur
G16982,2021-11-12 13:22:00,2021-11-12 13:22:00,1,150000,1145,2,1,4,2.15,Tidur
G16984,2021-11-12 09:57:00,2021-11-12 09:57:00,1,100000,1145,2,1,3,1.9,Tidur
G16985,2021-11-12 11:17:00,2021-11-12 11:17:00,1,50000,1145,2,1,2,1.65,Hilang
G16987,2024-11-24 05:46:00,2021-11-12 11:57:00,54,1325000,37,5,5,5,5.0,Mulai Aktif
G16989,2024-04-06 20:01:00,2021-11-12 12:32:00,5,1167400,269,5,5,5,5.0,Tidur
G16990,2022-10-19 18:09:00,2021-11-12 12:42:00,5,325000,804,3,5,5,4.2,Tidur
G16991,2021-11-12 12:45:00,2021-11-12 12:45:00,1,25000,1145,2,1,2,1.65,Hilang
G16994,2024-11-29 13:32:00,2021-11-12 13:55:00,20,3450000,32,5,5,5,5.0,Mulai Aktif
G16995,2021-12-03 14:15:00,2021-11-12 14:34:00,3,60000,1124,2,5,3,3.3,Kategori Lain
G16996,2021-11-12 15:20:00,2021-11-12 15:20:00,1,50000,1145,2,1,2,1.65,Hilang
G16997,2021-11-12 15:56:00,2021-11-12 15:56:00,1,50000,1145,2,1,2,1.65,Hilang
G16998,2023-03-02 05:32:00,2021-11-12 16:00:00,2,45000,670,4,4,2,3.5,Kategori Lain
G17000,2021-11-12 17:20:00,2021-11-12 17:20:00,1,20000,1145,2,1,1,1.4,Hilang
G17003,2021-11-12 17:59:00,2021-11-12 17:59:00,1,50000,1145,2,1,2,1.65,Hilang
G17004,2024-07-05 06:10:00,2021-11-12 19:11:00,98,5050000,179,5,5,5,5.0,Tidur
G17005,2022-01-25 07:23:00,2021-11-12 19:28:00,5,100000,1071,2,5,3,3.3,Tidur
G17006,2021-11-12 19:54:00,2021-11-12 19:54:00,1,20000,1145,2,1,1,1.4,Hilang
G17008,2021-11-12 20:21:00,2021-11-12 20:21:00,1,250000,1145,2,1,4,2.15,Tidur
G17011,2022-12-11 20:16:00,2021-11-12 20:56:00,2,500000,751,3,4,5,3.85,Tidur
G17013,2021-11-12 23:27:00,2021-11-12 23:27:00,1,20000,1145,2,1,1,1.4,Hilang
G17014,2022-01-14 13:09:00,2021-11-13 04:47:00,3,90000,1082,2,5,3,3.3,Kategori Lain
G17015,2021-12-13 04:45:00,2021-11-13 05:15:00,2,200907,1114,2,4,4,3.2,Tidur
G17016,2021-11-13 12:38:00,2021-11-13 12:38:00,1,350000,1144,2,1,5,2.4,Tidur
G17017,2021-11-13 14:20:00,2021-11-13 14:20:00,1,20000,1144,2,1,1,1.4,Hilang
G17018,2021-11-13 16:00:00,2021-11-13 16:00:00,1,20000,1144,2,1,1,1.4,Hilang
G17019,2021-11-13 17:57:00,2021-11-13 17:57:00,1,20000,1144,2,1,1,1.4,Hilang
G17020,2021-11-13 20:14:00,2021-11-13 20:14:00,1,20000,1144,2,1,1,1.4,Hilang
G17021,2021-11-15 15:08:00,2021-11-13 20:58:00,2,40000,1142,2,4,2,2.7,Kategori Lain
G17023,2021-11-14 01:01:00,2021-11-14 00:53:00,2,200000,1143,2,4,4,3.2,Tidur
G17024,2021-11-26 05:48:00,2021-11-14 03:57:00,2,40000,1131,2,4,2,2.7,Kategori Lain
G17025,2021-11-14 05:03:00,2021-11-14 05:03:00,1,20000,1143,2,1,1,1.4,Hilang
G17026,2021-11-14 06:23:00,2021-11-14 06:23:00,1,100000,1143,2,1,3,1.9,Tidur
G17028,2021-11-14 12:37:00,2021-11-14 12:37:00,1,300000,1143,2,1,5,2.4,Tidur
G17029,2022-08-12 00:11:00,2021-11-14 13:25:00,10,1050000,872,3,5,5,4.2,Tidur
G17030,2021-11-14 15:44:00,2021-11-14 15:44:00,1,20000,1143,2,1,1,1.4,Hilang
G17031,2021-11-14 16:15:00,2021-11-14 16:15:00,1,50000,1143,2,1,2,1.65,Hilang
G17032,2021-11-14 18:18:00,2021-11-14 18:18:00,1,195000,1143,2,1,4,2.15,Tidur
G17033,2023-11-22 13:05:00,2021-11-14 19:46:00,2,30000,405,4,4,2,3.5,Kategori Lain
G17034,2021-11-14 21:53:00,2021-11-14 21:53:00,1,50000,1143,2,1,2,1.65,Hilang
G17035,2021-11-25 07:35:00,2021-11-25 07:35:00,1,20000,1132,2,1,1,1.4,Hilang
G17037,2021-11-16 12:04:00,2021-11-15 04:23:00,2,40000,1141,2,4,2,2.7,Kategori Lain
G17038,2021-12-03 12:42:00,2021-11-15 05:18:00,2,40000,1124,2,4,2,2.7,Kategori Lain
G17039,2023-03-02 15:07:00,2021-11-15 05:45:00,10,1641750,670,4,5,5,4.6,Tidur
G17040,2023-07-21 15:18:00,2021-11-15 06:19:00,5,225000,529,4,5,4,4.35,Tidur
G17042,2021-11-15 07:01:00,2021-11-15 07:01:00,1,20000,1142,2,1,1,1.4,Hilang
G17043,2021-12-28 18:17:00,2021-11-15 07:19:00,2,40000,1099,2,4,2,2.7,Kategori Lain
G17044,2021-11-15 07:47:00,2021-11-15 07:47:00,1,20000,1142,2,1,1,1.4,Hilang
G17045,2021-11-15 08:02:00,2021-11-15 08:02:00,1,22801,1142,2,1,2,1.65,Hilang
G17046,2021-11-15 08:22:00,2021-11-15 08:22:00,1,20000,1142,2,1,1,1.4,Hilang
G17047,2024-10-25 20:11:00,2021-11-15 08:33:00,42,5940000,67,5,5,5,5.0,Kategori Lain
G17048,2021-11-15 10:02:00,2021-11-15 10:02:00,1,100000,1142,2,1,3,1.9,Tidur
G17050,2021-11-15 13:11:00,2021-11-15 13:11:00,1,120000,1142,2,1,4,2.15,Tidur
G17051,2021-11-15 13:35:00,2021-11-15 13:35:00,1,20378,1142,2,1,2,1.65,Hilang
G17052,2021-11-15 17:36:00,2021-11-15 17:36:00,1,20000,1142,2,1,1,1.4,Hilang
G17053,2021-11-15 18:46:00,2021-11-15 18:46:00,1,50000,1142,2,1,2,1.65,Hilang
G17054,2021-11-15 18:47:00,2021-11-15 18:47:00,1,150000,1142,2,1,4,2.15,Tidur
G17056,2024-01-05 08:32:00,2024-01-05 08:32:00,1,15000,361,5,1,1,2.6,Hilang
G17058,2021-11-15 21:08:00,2021-11-15 21:08:00,1,20000,1142,2,1,1,1.4,Hilang
G17059,2021-11-15 21:29:00,2021-11-15 21:29:00,1,50000,1142,2,1,2,1.65,Hilang
G17060,2021-11-15 21:39:00,2021-11-15 21:39:00,1,200000,1142,2,1,4,2.15,Tidur
G17061,2021-11-16 02:00:00,2021-11-16 02:00:00,1,100000,1141,2,1,3,1.9,Tidur
G17062,2021-11-16 04:33:00,2021-11-16 04:33:00,1,200000,1141,2,1,4,2.15,Tidur
G17063,2022-01-05 06:36:00,2021-11-16 05:14:00,2,40000,1091,2,4,2,2.7,Kategori Lain
G17064,2021-11-21 11:28:00,2021-11-16 05:23:00,2,650000,1136,2,4,5,3.45,Tidur
G17065,2021-11-16 09:10:00,2021-11-16 09:10:00,1,100000,1141,2,1,3,1.9,Tidur
G17066,2022-02-01 09:42:00,2022-02-01 09:42:00,1,20339,1064,3,1,2,2.05,Hilang
G17067,2022-01-04 08:20:00,2021-11-16 12:13:00,5,100367,1092,2,5,4,3.55,Tidur
G17068,2021-11-30 15:23:00,2021-11-16 15:28:00,2,200000,1127,2,4,4,3.2,Tidur
G17069,2021-11-16 18:18:00,2021-11-16 18:18:00,1,20000,1141,2,1,1,1.4,Hilang
G17070,2021-11-16 18:35:00,2021-11-16 18:35:00,1,100000,1141,2,1,3,1.9,Tidur
G17071,2022-01-19 18:15:00,2021-11-16 18:50:00,2,200000,1077,2,4,4,3.2,Tidur
G17072,2022-10-03 17:13:00,2021-11-16 19:59:00,2,70000,820,3,4,3,3.35,Kategori Lain
G17073,2021-11-16 20:43:00,2021-11-16 20:43:00,1,50000,1141,2,1,2,1.65,Hilang
G17074,2021-11-16 20:55:00,2021-11-16 20:55:00,1,100000,1141,2,1,3,1.9,Tidur
G17075,2021-11-16 21:05:00,2021-11-16 21:05:00,1,50000,1141,2,1,2,1.65,Hilang
G17076,2021-11-16 21:38:00,2021-11-16 21:38:00,1,100000,1141,2,1,3,1.9,Tidur
G17078,2021-11-16 23:42:00,2021-11-16 23:42:00,1,150000,1141,2,1,4,2.15,Tidur
G17079,2021-11-17 03:42:00,2021-11-17 03:42:00,1,20000,1140,2,1,1,1.4,Hilang
G17080,2021-11-17 04:10:00,2021-11-17 04:10:00,1,50000,1140,2,1,2,1.65,Hilang
G17081,2021-11-17 04:25:00,2021-11-17 04:25:00,1,20000,1140,2,1,1,1.4,Hilang
G17082,2021-11-17 04:30:00,2021-11-17 04:30:00,1,20000,1140,2,1,1,1.4,Hilang
G17083,2021-11-17 05:08:00,2021-11-17 05:08:00,1,50000,1140,2,1,2,1.65,Hilang
G17086,2021-12-24 15:19:00,2021-11-17 12:59:00,4,650000,1103,2,5,5,3.8,Tidur
G17087,2021-11-17 15:01:00,2021-11-17 15:01:00,1,200000,1140,2,1,4,2.15,Tidur
G17090,2023-10-24 04:23:00,2021-11-17 15:42:00,6,570000,434,4,5,5,4.6,Tidur
G17091,2021-11-17 17:45:00,2021-11-17 17:45:00,1,100000,1140,2,1,3,1.9,Tidur
G17092,2021-11-17 18:19:00,2021-11-17 18:19:00,1,20000,1140,2,1,1,1.4,Hilang
G17094,2021-11-17 19:49:00,2021-11-17 19:49:00,1,100000,1140,2,1,3,1.9,Tidur
G17095,2023-03-01 20:11:00,2021-11-17 20:03:00,4,80000,671,4,5,3,4.1,Kategori Lain
G17096,2023-07-25 19:50:00,2021-11-17 22:06:00,3,40000,525,4,5,2,3.85,Kategori Lain
G17098,2021-11-18 20:16:00,2021-11-18 20:16:00,1,20000,1139,2,1,1,1.4,Hilang
G17099,2021-11-17 23:48:00,2021-11-17 23:48:00,1,50000,1140,2,1,2,1.65,Hilang
G17100,2021-11-18 04:14:00,2021-11-18 04:14:00,1,20000,1139,2,1,1,1.4,Hilang
G17101,2021-11-29 06:13:00,2021-11-18 04:40:00,2,49000,1128,2,4,2,2.7,Kategori Lain
G17104,2021-11-18 12:21:00,2021-11-18 12:21:00,1,20000,1139,2,1,1,1.4,Hilang
G17106,2024-09-11 22:26:00,2021-11-25 20:28:00,26,7500000,111,5,5,5,5.0,Tidur
G17108,2021-11-18 21:27:00,2021-11-18 21:27:00,1,20000,1139,2,1,1,1.4,Hilang
G17109,2021-11-18 22:10:00,2021-11-18 22:10:00,1,100000,1139,2,1,3,1.9,Tidur
G17110,2023-04-05 00:22:00,2023-04-05 00:22:00,1,20000,636,4,1,1,2.2,Hilang
G17111,2022-11-25 10:11:00,2021-11-19 05:55:00,4,170000,767,3,5,4,3.95,Tidur
G17112,2021-11-19 06:24:00,2021-11-19 06:24:00,1,100000,1138,2,1,3,1.9,Tidur
G17113,2023-03-10 10:07:00,2021-11-19 06:29:00,6,800000,662,4,5,5,4.6,Tidur
G17114,2024-12-13 15:44:00,2021-11-19 06:41:00,88,2711000,18,5,5,5,5.0,Mulai Aktif
G17115,2021-11-19 07:17:00,2021-11-19 07:17:00,1,50000,1138,2,1,2,1.65,Hilang
G17116,2024-04-05 10:30:00,2021-11-19 08:19:00,12,1650000,270,5,5,5,5.0,Tidur
G17117,2021-12-17 08:01:00,2021-11-19 10:26:00,3,60000,1110,2,5,3,3.3,Kategori Lain
G17120,2021-12-29 14:03:00,2021-11-19 13:24:00,3,150000,1098,2,5,4,3.55,Tidur
G17122,2022-08-31 15:17:00,2021-11-19 13:56:00,2,100000,853,3,4,3,3.35,Tidur
G17124,2021-11-19 14:43:00,2021-11-19 14:43:00,1,50000,1138,2,1,2,1.65,Hilang
G17125,2022-05-28 12:32:00,2021-12-03 21:30:00,3,250197,948,3,5,5,4.2,Tidur
G17126,2022-10-28 09:12:00,2021-11-19 15:15:00,3,300000,795,3,5,5,4.2,Tidur
G17127,2021-11-19 15:19:00,2021-11-19 15:19:00,1,20000,1138,2,1,1,1.4,Hilang
G17129,2022-11-25 13:23:00,2021-11-19 16:03:00,2,100000,767,3,4,3,3.35,Tidur
G17131,2021-11-19 16:18:00,2021-11-19 16:18:00,1,50000,1138,2,1,2,1.65,Hilang
